file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,co2_signal_strength_7500_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2021-11-10T060000_smart3-00551.ghg,2021-11-10,06:30,314.2707,0,36000,36000,0.543957E-04,1,-2.57444,1,6.74321,1,2.76322,2,0.153220,1,-0.840528E-02,1,-9999,-9999,-9999,-9999,-9999,0.524300E-11,0.172442E-12,0.256851E-13,17.5052,426.473,432.540,0.00000,1,575.744,14.0267,14.2262,0.00000,1,0.857566E-01,2.10856,2.13856,0.00000,1,300.252,297.556,101544.,1.18259,1013.33,0.243627E-01,0.992863E-02,0.103749E-01,1424.70,3048.43,0.877307E-02,46.7357,1623.72,285.399,0.222119E-02,-0.571253E-02,0.247760E-03,0.613417E-02,0.209799E-14,0.299511E-15,0.613417E-02,0.519054E-01,251.008,291.247,2.31482,-9999,0.678212E-02,0.129172E-03,0.106957E-01,124.349,-0.381783,0.316764,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.152825E-04,3.55933,-0.415318,5.93477,0.319977,21.3501,0.132282,21.3501,0.727053E-02,21.3501,-0.120596E-03,66.1295,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,3,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.923394E-04,0.904161E-04,0.755888E-04,0.134020E-01,0.679221E-02,16.2482,0.248602E-06,-0.346576E-03,0.132282E-03,0.727053E-02,-0.120596E-06,298.143,101802.,89.7511,66.8853
2021-11-10T063000_smart3-00551.ghg,2021-11-10,07:00,314.2916,0,36000,36000,-0.138483E-04,1,-0.376458E-01,1,-0.524095,1,-0.683792E-01,1,-0.119082E-01,1,-0.183769E-01,1,-0.388892E-01,-0.570136,-0.168488,-0.129543E-01,-0.221494E-02,-0.169047E-10,-0.549495E-12,-0.816220E-13,17.3564,422.779,428.670,0.00000,1,564.179,13.7427,13.9342,-0.150000,0,0.838032E-01,2.06000,2.08871,-0.850000,0,300.162,297.527,101550.,1.18291,1013.17,0.243587E-01,-0.771650E-03,0.101665E-01,1395.95,3043.10,0.859451E-02,45.8726,1647.15,285.089,-0.326424E-03,0.102995E-02,0.114500E-02,0.157429E-02,-0.507565E-14,-0.973973E-15,0.157429E-02,0.396805E-01,125.531,107.585,46.6617,-9999,0.342155E-02,0.867348E-04,0.939172E-01,14.1614,0.718301E-01,0.918041E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.820383E-05,1.68803,-0.224978E-01,2.24578,-0.887562E-01,5.79418,-0.106161E-01,5.79418,-0.201667E-02,5.79418,-0.879995E-03,20.6409,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,12,28,0,4,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.618663E-04,0.706320E-04,0.409712E-04,0.803955E-02,0.801048E-03,3.28156,0.613504E-06,-0.187719E-04,-0.106161E-04,-0.201667E-02,-0.879995E-06,298.220,101806.,89.7534,63.5893
2021-11-10T070000_smart3-00551.ghg,2021-11-10,07:30,314.3124,1,36000,36000,0.186176E-04,1,0.167901E-01,2,0.343787E-01,1,0.895875E-03,2,0.781090E-03,1,-0.234832E-03,1,-0.772267E-01,0.261144E-01,-0.447950E-01,0.593323E-03,-0.138960E-02,-0.102407E-10,-0.333968E-12,-0.488251E-13,17.3216,421.798,427.681,0.00000,1,564.892,13.7557,13.9475,0.00000,1,0.825854E-01,2.02955,2.05786,0.00000,1,300.182,297.469,101563.,1.18328,1013.17,0.243510E-01,0.506146E-04,0.101793E-01,1397.44,3032.56,0.860269E-02,46.0813,1635.12,285.106,0.621389E-02,-0.377479E-02,-0.183270E-02,0.749802E-02,0.600233E-15,-0.591208E-15,0.749802E-02,0.481475E-01,211.184,328.722,-14.1478,-9999,0.396660E-02,0.104039E-03,-0.328121,-4.05339,0.488387,-0.353074E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.148634E-04,1.25258,0.156335E-01,1.19995,0.247638E-01,1.32189,-0.188488E-03,1.32189,0.562638E-03,1.32189,-0.144386E-03,1.66254,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,14,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.102439E-03,0.530873E-04,0.525513E-04,0.983008E-02,0.115328E-02,5.06525,0.583990E-07,0.130403E-04,-0.188488E-06,0.562638E-03,-0.144386E-06,298.132,101820.,89.7527,66.9142
2021-11-10T073000_smart3-00551.ghg,2021-11-10,08:00,314.3332,1,36000,36000,0.109248E-03,1,0.136937,1,0.202040,2,0.274688,2,0.459186E-02,2,0.122409E-02,1,0.441332,-0.121976,0.326539E-02,-0.277220E-02,-0.291670E-03,0.655567E-11,0.212813E-12,0.311361E-13,17.3086,421.869,427.727,0.00000,1,561.879,13.6949,13.8850,0.00000,1,0.822070E-01,2.02315,2.05124,0.500000,0,300.784,297.800,101583.,1.18222,1013.15,0.243734E-01,0.297552E-03,0.101251E-01,1391.54,3093.32,0.856446E-02,44.9852,1701.78,285.041,0.135084E-01,0.499794E-03,-0.298197E-02,0.138426E-01,0.141062E-14,0.378752E-15,0.138426E-01,0.879867E-01,182.261,2.11891,-12.4401,-9999,0.961300E-02,0.387496E-03,-0.572726,-2.32223,0.677773,-0.118930E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.924938E-04,1.18114,0.129769,1.14605,0.152659,1.24317,0.214053,1.24317,0.346955E-02,1.24317,0.770826E-03,1.50180,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.334507E-03,0.276026E-03,0.164459E-03,0.108458,0.761848E-02,3.36226,0.974156E-07,0.108343E-03,0.214053E-03,0.346955E-02,0.770826E-06,298.288,101841.,89.7543,66.8749
2021-11-10T080000_smart3-00551.ghg,2021-11-10,08:30,314.3541,1,36000,36000,0.292829E-04,1,0.517697,1,-0.121044,2,-0.162663,1,-0.275315E-02,2,-0.348162E-03,1,1.05706,-0.499846E-01,0.294986E-01,-0.113690E-02,0.347870E-03,0.307452E-10,0.994711E-12,0.146204E-12,17.2919,422.518,428.374,0.00000,0,559.450,13.6699,13.8593,0.00000,1,0.822290E-01,2.03080,2.05895,0.00000,1,301.698,298.597,101600.,1.17927,1013.15,0.244345E-01,-0.178404E-03,0.100813E-01,1389.23,3243.56,0.854874E-02,42.8302,1854.34,285.016,0.279410E-01,0.182561E-01,0.125206E-01,0.356476E-01,0.318227E-14,0.177802E-14,0.356476E-01,0.928562E-01,143.808,33.1597,20.5628,-9999,0.498311E-02,0.458202E-03,-0.211046E-01,-63.0196,-4.27694,-0.869532E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.266239E-04,1.09988,0.469956,1.08664,-0.133257,1.16378,-0.160333,1.16378,-0.303092E-02,1.16378,-0.362780E-03,1.36082,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,4,0,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.325656E-03,0.450598E-03,0.140151E-03,0.534349E-01,0.491136E-02,3.93957,0.642671E-07,0.393339E-03,-0.160333E-03,-0.303092E-02,-0.362780E-06,298.779,101867.,89.7602,67.0304
2021-11-10T083000_smart3-00551.ghg,2021-11-10,09:00,314.3749,1,36000,36000,0.674045E-04,1,-0.965057E-01,2,0.198659,2,0.399864E-01,1,0.452079E-02,2,0.602146E-03,0,0.691921,0.109770,0.375776E-01,0.249798E-02,-0.136844E-03,-0.105219E-10,-0.341121E-12,-0.498292E-13,17.2973,423.346,429.237,0.00000,1,560.781,13.7249,13.9159,0.00000,1,0.819160E-01,2.02779,2.05600,0.00000,0,302.354,299.119,101610.,1.17731,1013.20,0.244746E-01,0.292947E-03,0.101053E-01,1394.97,3345.49,0.858333E-02,41.6969,1950.52,285.079,0.157221E-01,0.144261E-01,0.274941E-02,0.215140E-01,-0.130429E-13,-0.608296E-15,0.215140E-01,0.928621E-01,128.157,42.5385,7.34226,-9999,0.756656E-02,0.594322E-03,0.396403,3.35518,-0.485787,0.106922E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.581192E-04,1.15976,-0.677495E-01,1.30344,0.102804,1.97071,0.216930E-01,1.97071,0.233946E-02,1.97071,0.149603E-03,4.08792,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,11,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.338134E-03,0.663395E-03,0.187116E-03,0.150241E-01,0.824277E-03,12.3797,0.503835E-07,-0.567962E-04,0.216930E-04,0.233946E-02,0.149603E-06,299.488,101876.,89.7665,67.8143
2021-11-10T090000_smart3-00551.ghg,2021-11-10,09:30,314.3957,1,36000,36000,0.419338E-04,0,-0.127651,2,0.335310,1,-0.313978E-01,2,0.763394E-02,1,0.137003E-03,2,0.611231,-0.404262,0.838445E-01,-0.920374E-02,0.140622E-03,-0.212075E-10,-0.674433E-12,-0.100099E-12,17.3478,425.195,431.023,0.00000,1,551.688,13.5219,13.7072,0.00000,1,0.818813E-01,2.03089,2.05873,0.00000,1,302.853,299.581,101620.,1.17570,1013.10,0.245100E-01,0.494679E-03,0.994141E-02,1374.46,3437.98,0.845571E-02,39.9789,2063.51,284.854,-0.684437E-02,0.246918E-01,0.297847E-02,0.257954E-01,-0.101350E-14,-0.122249E-14,0.257954E-01,0.117340,73.7476,105.493,6.63047,-9999,0.597218E-02,0.493187E-03,0.147363,9.02533,-0.380696,0.179449E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.320187E-04,1.30966,-0.728733E-01,1.59993,0.112573,3.01533,-0.943127E-02,3.01533,0.256292E-02,3.01533,0.202315E-04,7.51888,800000009,800000009,800000009,800000009,800000009,801000009,899999999,899999999,89999,89999,89,89,7,5,0,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.460397E-03,0.351611E-03,0.174366E-03,0.395271E-01,0.191293E-02,4.08265,0.452548E-07,-0.611812E-04,-0.943127E-05,0.256292E-02,0.202315E-07,300.076,101888.,89.7715,66.3584
2021-11-10T093000_smart3-00551.ghg,2021-11-10,10:00,314.4166,1,36000,36000,0.363467E-04,1,0.619202,1,0.646654E-01,1,0.392358E-01,1,0.147308E-02,1,-0.389546E-03,1,0.788528,1.00456,0.210280,0.228839E-01,0.552284E-03,0.980517E-11,0.319984E-12,0.460085E-13,17.5051,429.842,435.958,0.00000,1,571.266,14.0276,14.2272,0.00000,1,0.821388E-01,2.04309,2.07216,-0.350000,0,303.469,300.177,101635.,1.17331,1013.40,0.245553E-01,0.954555E-04,0.102942E-01,1426.08,3560.79,0.877365E-02,40.0495,2134.71,285.414,-0.704532E-02,0.226917E-01,-0.771495E-03,0.237728E-01,0.119141E-14,0.560132E-15,0.237728E-01,0.810761E-01,69.7647,107.249,-1.85974,-9999,0.556578E-02,0.450264E-03,-0.245951E-01,-54.0757,9.57547,-0.935649E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.321552E-04,1.13035,0.562148,1.10861,0.169850E-01,1.19238,0.690541E-02,1.19238,0.386918E-03,1.19238,-0.409650E-03,1.40941,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,12,6,0,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.397050E-03,0.299190E-03,0.204288E-03,0.335350E-01,0.111313E-02,32.8220,0.831815E-07,0.472778E-03,0.690541E-05,0.386918E-03,-0.409650E-06,300.688,101913.,89.7773,67.2814
2021-11-10T100000_smart3-00551.ghg,2021-11-10,10:30,314.4374,1,36000,36000,0.112936E-03,1,-0.949641E-01,2,0.449570,1,0.991982E-01,2,0.102455E-01,1,0.829748E-03,0,0.571865,0.388458,0.107391,0.885281E-02,0.294080E-03,0.355078E-10,0.116849E-11,0.166104E-12,17.5795,432.219,438.455,0.00000,1,578.508,14.2235,14.4287,0.00000,1,0.822361E-01,2.04960,2.07917,0.00000,1,303.782,300.611,101653.,1.17173,1013.52,0.245865E-01,0.663911E-03,0.104247E-01,1446.24,3652.35,0.889683E-02,39.5975,2206.11,285.627,-0.272948E-02,0.268314E-01,-0.232291E-02,0.270697E-01,0.144949E-14,0.201984E-14,0.270697E-01,0.137092,85.7860,95.8085,-4.92272,-9999,0.981751E-02,0.429818E-03,0.880283,1.51088,-0.211233,0.814511E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.103686E-03,1.08922,-0.627974E-01,1.16040,0.299686,1.50133,0.662383E-01,1.50133,0.682974E-02,1.50133,0.323045E-03,2.53165,800000009,800000009,800000009,800000009,800000009,811001009,899999999,899999999,89999,89999,89,89,27,12,0,17,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.365662E-03,0.276665E-03,0.217309E-03,0.116936E-01,0.157845E-01,4.27058,0.511128E-07,-0.528787E-04,0.662383E-04,0.682974E-02,0.323045E-06,301.200,101931.,89.7841,67.5651
