first_statistics:_on_raw_data
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,36000,0.469307,1.48690,0.105286,288.503,18.5221,486.323,0.906276E-01,-9999,-9999,-9999,285.023,102061.,117.189,0.185601,0.812467E-01,0.117598E-01,0.136617E-01,0.146901E-02,29.8760,0.175983E-07,-9999,-9999,-9999,0.731187E-02,14.7630,-0.332222E-01,0.604462E-02,-0.375528E-02,-0.851448E-02,0.160272,0.251922E-04,-9999,0.677723E-03,0.298242E-02,0.540666E-03,0.249456E-01,-0.157329E-04,-9999,0.593891E-02,-0.106148E-02,0.287448,-0.207660E-05,-9999,-9999,-9999,-0.799188E-03,0.438322E-01,0.430814,0.285038,0.108442,0.116883,0.383277E-01,5.46590,0.132659E-03,-9999,-9999,-9999,0.855095E-01,3.84226,-1.37085,0.182547,0.646502E-01,0.909177,1.35137,1.09045,0.449259E-01,-9999,-9999,-9999,-0.292019,0.234807,4.85442,2.70193,3.75909,3.69456,5.89178,3.78029,2.62858,-9999,-9999,-9999,1.89131,2.35721
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,36000,-0.768776,1.02414,0.604979E-01,288.587,18.6698,484.377,0.905851E-01,-9999,-9999,-9999,285.287,102044.,62.0340,0.148252,0.158797,0.937843E-02,0.153991E-01,0.941795E-02,38.8328,0.162829E-07,-9999,-9999,-9999,0.121044E-01,112.391,0.507828E-01,0.612195E-02,0.148218E-01,0.133650E-01,0.403194E-01,0.881521E-05,-9999,-0.241240E-03,-0.966811E-02,-0.909585E-02,-0.277064E-01,0.250332E-04,-9999,0.439330E-02,-0.104023E-02,0.270724,-0.192751E-05,-9999,-9999,-9999,0.134402E-03,-0.232460E-02,0.385035,0.398493,0.968423E-01,0.124093,0.970461E-01,6.23159,0.127605E-03,-9999,-9999,-9999,0.110020,10.6014,-0.255689,1.02520,-0.188838,0.324579,0.461744,0.819978,-0.269406,-9999,-9999,-9999,-0.300025E-01,-0.559860,2.25760,3.41986,4.55452,2.77002,2.10487,3.44545,2.93777,-9999,-9999,-9999,1.47307,2.67000
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,36000,-1.23855,0.584407,0.356841E-01,288.584,18.4855,482.323,0.898226E-01,-9999,-9999,-9999,285.564,101989.,34.5330,0.722682E-01,0.407701E-01,0.879768E-02,0.166217E-01,0.908394E-02,57.8857,0.338100E-06,-9999,-9999,-9999,0.151221E-01,268.013,-0.949318E-02,0.255085E-02,0.164695E-01,-0.144073E-01,0.487924,-0.737298E-04,-9999,-0.150711E-02,0.151233E-02,0.905198E-04,-0.119859,-0.142389E-04,-9999,0.417604E-02,-0.212268E-04,0.300777,-0.546761E-06,-9999,-9999,-9999,-0.699172E-04,0.349902E-01,0.268827,0.201916,0.937960E-01,0.128925,0.953097E-01,7.60826,0.581463E-03,-9999,-9999,-9999,0.122972,16.3711,0.152089,-0.216624,0.582542E-01,1.27457,-0.420374,1.38720,-0.704361,-9999,-9999,-9999,0.356339,-0.325470,3.43636,3.04490,3.78322,6.25496,1.97891,5.79799,2.38740,-9999,-9999,-9999,1.94390,1.78564
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,36000,-0.380409,0.321854,0.145865E-01,288.682,18.1259,484.605,0.878698E-01,-9999,-9999,-9999,286.115,101935.,48.4574,0.115771,0.114707,0.167038E-01,0.423139E-01,0.990924E-02,178.234,0.210301E-06,-9999,-9999,-9999,0.223999E-01,223.934,0.162381E-02,0.244401E-02,0.574188E-02,0.507535E-02,0.301472,0.170793E-04,-9999,0.959728E-02,0.916501E-02,0.229935E-01,-0.533848E-02,0.913551E-04,-9999,0.161216E-01,0.589376E-03,0.965392,0.145866E-05,-9999,-9999,-9999,-0.270353E-02,0.408097,0.340251,0.338684,0.129243,0.205703,0.995452E-01,13.3504,0.458586E-03,-9999,-9999,-9999,0.149666,14.9644,-0.120017,-0.287671,-0.509234E-01,1.32106,0.540973,1.23422,0.638811,-9999,-9999,-9999,-0.367579,0.167872,2.17646,2.21168,3.20377,5.19482,1.89727,4.02988,2.17895,-9999,-9999,-9999,2.22939,1.62798
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,36000,-0.536359,-0.484451,-0.151652E-01,288.824,18.3698,485.056,0.880713E-01,-9999,-9999,-9999,286.235,101892.,326.991,0.146057,0.249359,0.264178E-01,0.497034E-01,0.427134E-01,177.281,0.269929E-06,-9999,-9999,-9999,0.475308E-02,186.535,0.715186E-02,0.160745E-03,-0.251301E-01,-0.445804E-01,-0.804571,-0.108141E-03,-9999,0.797422E-02,-0.205669E-02,0.244584E-01,-0.552810,0.573354E-04,-9999,0.170715E-01,0.893348E-03,0.995196,-0.307551E-05,-9999,-9999,-9999,0.761196E-04,-0.235487,0.382174,0.499358,0.162535,0.222943,0.206672,13.3147,0.519547E-03,-9999,-9999,-9999,0.689426E-01,13.6578,-0.941042E-01,0.170252,0.212853E-01,0.771517,-0.484640,1.18177,0.571634,-9999,-9999,-9999,-0.684370,0.116780,2.58873,3.07012,3.18406,3.85286,2.12476,3.96676,2.42980,-9999,-9999,-9999,3.37388,1.76467
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,36000,-0.366147,-1.03908,-0.273477E-01,289.105,18.3371,494.114,0.885991E-01,-9999,-9999,-9999,286.398,101850.,302.588,0.262200,0.505668,0.358257E-01,0.549204E-01,0.348328E-01,272.964,0.217155E-06,-9999,-9999,-9999,0.795093E-02,174.348,-0.426616E-01,0.437149E-02,-0.110286E-01,0.305111E-02,0.107170,-0.794540E-04,-9999,0.227874E-01,-0.367483E-01,0.728645E-01,-3.32013,0.219525E-03,-9999,0.193342E-01,-0.177979E-02,1.24169,-0.588946E-05,-9999,-9999,-9999,0.220263E-02,0.523730E-01,0.512055,0.711103,0.189277,0.234351,0.186636,16.5216,0.465999E-03,-9999,-9999,-9999,0.891680E-01,13.2041,0.100155,0.511216E-02,0.160807,0.679083,-0.298058,0.565262,-0.283838,-9999,-9999,-9999,1.06312,-0.129518E-02,2.88012,2.10482,3.66326,3.05985,1.87053,2.50879,2.06385,-9999,-9999,-9999,3.53542,1.68011
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,36000,-0.457941,-1.66784,-0.375992E-01,289.338,18.1956,503.670,0.884324E-01,-9999,-9999,-9999,286.362,101815.,297.095,0.174447,0.398321,0.492638E-01,0.700915E-01,0.835180E-02,279.752,0.198929E-06,-9999,-9999,-9999,0.703358E-02,81.4557,-0.116731,-0.100576E-02,0.530027E-02,-0.153086E-01,0.112242E-01,-0.579606E-04,-9999,0.443204E-01,0.321714E-01,0.186188E-01,1.79297,0.115247E-03,-9999,0.293772E-01,-0.452233E-02,1.72545,-0.142061E-04,-9999,-9999,-9999,0.370116E-02,0.858957E-01,0.417669,0.631127,0.221955,0.264748,0.913882E-01,16.7258,0.446015E-03,-9999,-9999,-9999,0.838664E-01,9.02528,0.115327,-0.886399E-01,0.288428,0.350797,-0.497755,0.274465,0.395660E-01,-9999,-9999,-9999,0.290697,-0.282460,2.81836,3.19751,3.56532,2.47548,2.49067,2.26471,2.89338,-9999,-9999,-9999,2.11198,2.10855
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,36000,-0.953118E-01,-2.48296,-0.411359E-01,289.383,18.1318,500.057,0.881231E-01,-9999,-9999,-9999,286.088,101803.,281.483,0.216466,0.337870,0.732188E-01,0.501851E-01,0.758766E-02,192.280,0.208220E-06,-9999,-9999,-9999,0.626270E-02,10.6679,-0.236310E-01,-0.723433E-02,-0.814928E-04,0.484216E-02,-0.682426,0.694993E-04,-9999,0.577151E-01,0.485701E-01,-0.160460E-02,2.80709,0.372605E-04,-9999,0.284495E-01,-0.453653E-02,1.61132,-0.880545E-05,-9999,-9999,-9999,0.224609E-02,0.265366E-01,0.465259,0.581266,0.270590,0.224020,0.871071E-01,13.8665,0.456312E-03,-9999,-9999,-9999,0.791372E-01,3.26617,-0.929738E-01,0.136673,0.235589,-0.221321E-01,0.835547,0.252687E-01,1.04633,-9999,-9999,-9999,0.120758,-0.934341E-01,3.07276,2.48206,3.64889,2.63766,4.07109,2.43727,3.74200,-9999,-9999,-9999,2.52179,2.59984
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,36000,-0.571256,-1.97275,-0.339595E-02,289.208,17.8802,498.632,0.868783E-01,-9999,-9999,-9999,285.820,101825.,295.756,0.222299,0.343832,0.620217E-01,0.537417E-01,0.519687E-01,241.921,0.963180E-07,-9999,-9999,-9999,0.825225E-02,4.35667,-0.136453E-01,0.623634E-02,-0.176687E-01,0.258971E-01,-0.800697,0.464195E-04,-9999,0.442934E-01,0.468200E-01,-0.427679E-01,1.66439,-0.807152E-04,-9999,0.246912E-01,-0.532262E-02,1.61108,-0.143183E-04,-9999,-9999,-9999,0.195954E-02,0.144766E-01,0.471486,0.586372,0.249042,0.231822,0.227966,15.5538,0.310351E-03,-9999,-9999,-9999,0.908419E-01,2.08726,-0.222027,-0.123416,0.240261,0.575134E-01,2.45280,0.230680,0.562583,-9999,-9999,-9999,0.178297,0.128399,3.63818,2.48364,3.75707,2.49033,8.12355,2.28550,3.11452,-9999,-9999,-9999,2.08683,2.43046
