second_statistics:_on_raw_data_after_after_despiking
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,36000,0.469306,1.48688,0.105286,288.502,18.5221,486.321,0.906276E-01,-9999,-9999,-9999,285.023,102061.,117.189,0.185599,0.812194E-01,0.117598E-01,0.136100E-01,0.146655E-02,29.8039,0.175983E-07,-9999,-9999,-9999,0.731151E-02,14.7497,-0.332227E-01,0.604452E-02,-0.375402E-02,-0.851495E-02,0.160108,0.251920E-04,-9999,0.675914E-03,0.298537E-02,0.541254E-03,0.252486E-01,-0.157315E-04,-9999,0.592834E-02,-0.106099E-02,0.287116,-0.207660E-05,-9999,-9999,-9999,-0.799279E-03,0.438336E-01,0.430812,0.284990,0.108442,0.116662,0.382955E-01,5.45930,0.132659E-03,-9999,-9999,-9999,0.855074E-01,3.84053,-1.37090,0.181271,0.646502E-01,0.896434,1.34383,1.08330,0.449259E-01,-9999,-9999,-9999,-0.291899,0.235969,4.85442,2.69727,3.75909,3.62952,5.83469,3.74305,2.62858,-9999,-9999,-9999,1.89094,2.35477
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,36000,-0.768742,1.02411,0.605372E-01,288.587,18.6698,484.375,0.905851E-01,-9999,-9999,-9999,285.287,102044.,62.0344,0.148224,0.158737,0.933566E-02,0.153740E-01,0.941795E-02,38.7502,0.162829E-07,-9999,-9999,-9999,0.121044E-01,112.387,0.507917E-01,0.611636E-02,0.148309E-01,0.133656E-01,0.406863E-01,0.881592E-05,-9999,-0.215458E-03,-0.967465E-02,-0.909552E-02,-0.282275E-01,0.250395E-04,-9999,0.439756E-02,-0.103893E-02,0.270871,-0.192711E-05,-9999,-9999,-9999,0.133348E-03,-0.219430E-02,0.384998,0.398419,0.966212E-01,0.123992,0.970461E-01,6.22497,0.127605E-03,-9999,-9999,-9999,0.110020,10.6013,-0.255722,1.02473,-0.151931,0.319421,0.461744,0.812815,-0.269406,-9999,-9999,-9999,-0.300025E-01,-0.560092,2.25809,3.41836,4.28986,2.75232,2.10487,3.41228,2.93777,-9999,-9999,-9999,1.47307,2.66971
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,36000,-1.23854,0.584383,0.357003E-01,288.584,18.4855,482.318,0.898226E-01,-9999,-9999,-9999,285.564,101989.,34.5321,0.722442E-01,0.407418E-01,0.878308E-02,0.165025E-01,0.908394E-02,57.6404,0.338100E-06,-9999,-9999,-9999,0.151214E-01,268.013,-0.948916E-02,0.255749E-02,0.164242E-01,-0.144057E-01,0.487711,-0.737177E-04,-9999,-0.150548E-02,0.150988E-02,0.880479E-04,-0.120337,-0.142427E-04,-9999,0.415201E-02,-0.236089E-04,0.300556,-0.558395E-06,-9999,-9999,-9999,-0.671652E-04,0.345946E-01,0.268783,0.201846,0.937181E-01,0.128462,0.953097E-01,7.59213,0.581463E-03,-9999,-9999,-9999,0.122969,16.3711,0.151182,-0.219687,0.704025E-01,1.24462,-0.420374,1.37389,-0.704361,-9999,-9999,-9999,0.356394,-0.325470,3.43130,3.03600,3.70865,6.05406,1.97891,5.71266,2.38740,-9999,-9999,-9999,1.94392,1.78564
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,36000,-0.380402,0.321876,0.145865E-01,288.682,18.1259,484.600,0.878698E-01,-9999,-9999,-9999,286.115,101935.,48.4607,0.115762,0.114697,0.167038E-01,0.421627E-01,0.990650E-02,177.848,0.210301E-06,-9999,-9999,-9999,0.223999E-01,223.924,0.162127E-02,0.244470E-02,0.572112E-02,0.507529E-02,0.301664,0.170775E-04,-9999,0.960034E-02,0.916811E-02,0.229966E-01,-0.591281E-02,0.913727E-04,-9999,0.161010E-01,0.590862E-03,0.964805,0.145866E-05,-9999,-9999,-9999,-0.270353E-02,0.408091,0.340238,0.338670,0.129243,0.205336,0.995314E-01,13.3360,0.458586E-03,-9999,-9999,-9999,0.149666,14.9641,-0.119831,-0.287821,-0.509234E-01,1.31030,0.541762,1.22652,0.638811,-9999,-9999,-9999,-0.367579,0.167781,2.17600,2.21205,3.20377,5.13309,1.89616,3.97898,2.17895,-9999,-9999,-9999,2.22939,1.62776
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,36000,-0.536328,-0.484451,-0.151652E-01,288.824,18.3698,485.052,0.880713E-01,-9999,-9999,-9999,286.235,101892.,326.990,0.146003,0.249359,0.264178E-01,0.496311E-01,0.427102E-01,177.010,0.269929E-06,-9999,-9999,-9999,0.474826E-02,186.535,0.714502E-02,0.158315E-03,-0.251484E-01,-0.445832E-01,-0.804735,-0.108149E-03,-9999,0.797422E-02,-0.206763E-02,0.244559E-01,-0.552202,0.573354E-04,-9999,0.170555E-01,0.894140E-03,0.994550,-0.307551E-05,-9999,-9999,-9999,0.743717E-04,-0.235487,0.382103,0.499358,0.162535,0.222780,0.206664,13.3045,0.519547E-03,-9999,-9999,-9999,0.689076E-01,13.6578,-0.928623E-01,0.170252,0.212853E-01,0.768633,-0.484514,1.17899,0.571634,-9999,-9999,-9999,-0.688290,0.116780,2.58431,3.07012,3.18406,3.84459,2.12446,3.95622,2.42980,-9999,-9999,-9999,3.36916,1.76467
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,36000,-0.366159,-1.03908,-0.273539E-01,289.105,18.3371,494.112,0.885991E-01,-9999,-9999,-9999,286.398,101850.,302.588,0.262093,0.505668,0.358157E-01,0.549204E-01,0.348328E-01,272.838,0.217155E-06,-9999,-9999,-9999,0.795093E-02,174.343,-0.426581E-01,0.436131E-02,-0.110224E-01,0.305024E-02,0.106962,-0.794447E-04,-9999,0.227879E-01,-0.367483E-01,0.728645E-01,-3.32054,0.219525E-03,-9999,0.193307E-01,-0.177875E-02,1.24104,-0.588550E-05,-9999,-9999,-9999,0.220158E-02,0.524059E-01,0.511951,0.711103,0.189250,0.234351,0.186636,16.5178,0.465999E-03,-9999,-9999,-9999,0.891680E-01,13.2039,0.997920E-01,0.511216E-02,0.159157,0.679083,-0.298058,0.563708,-0.283838,-9999,-9999,-9999,1.06312,-0.123549E-02,2.87799,2.10482,3.65481,3.05985,1.87053,2.50222,2.06385,-9999,-9999,-9999,3.53542,1.68000
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,36000,-0.457984,-1.66784,-0.375992E-01,289.338,18.1956,503.670,0.884324E-01,-9999,-9999,-9999,286.362,101815.,297.096,0.174194,0.398321,0.492638E-01,0.700871E-01,0.835180E-02,279.752,0.198929E-06,-9999,-9999,-9999,0.703358E-02,81.4536,-0.116716,-0.101071E-02,0.530413E-02,-0.153054E-01,0.115424E-01,-0.579463E-04,-9999,0.443204E-01,0.321697E-01,0.186188E-01,1.79297,0.115247E-03,-9999,0.293759E-01,-0.452233E-02,1.72545,-0.142061E-04,-9999,-9999,-9999,0.370116E-02,0.858790E-01,0.417365,0.631127,0.221955,0.264740,0.913882E-01,16.7258,0.446015E-03,-9999,-9999,-9999,0.838664E-01,9.02516,0.110763,-0.886399E-01,0.288428,0.350509,-0.497755,0.274465,0.395660E-01,-9999,-9999,-9999,0.290697,-0.282484,2.79577,3.19751,3.56532,2.47408,2.49067,2.26471,2.89338,-9999,-9999,-9999,2.11198,2.10864
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,36000,-0.953304E-01,-2.48296,-0.411249E-01,289.383,18.1317,500.057,0.881231E-01,-9999,-9999,-9999,286.088,101803.,281.484,0.215843,0.337867,0.731649E-01,0.501644E-01,0.755404E-02,192.280,0.208220E-06,-9999,-9999,-9999,0.626145E-02,10.6507,-0.236021E-01,-0.722859E-02,-0.895639E-04,0.484188E-02,-0.682575,0.694794E-04,-9999,0.577004E-01,0.485557E-01,-0.156350E-02,2.80706,0.372607E-04,-9999,0.284414E-01,-0.452390E-02,1.61130,-0.880985E-05,-9999,-9999,-9999,0.224525E-02,0.266724E-01,0.464589,0.581263,0.270490,0.223974,0.869140E-01,13.8665,0.456312E-03,-9999,-9999,-9999,0.791293E-01,3.26355,-0.896110E-01,0.136650,0.239357,-0.239221E-01,0.812965,0.252687E-01,1.04633,-9999,-9999,-9999,0.120680,-0.929533E-01,3.02703,2.48200,3.61610,2.63133,3.92811,2.43727,3.74200,-9999,-9999,-9999,2.52222,2.58908
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,36000,-0.571102,-1.97273,-0.342647E-02,289.208,17.8802,498.632,0.868783E-01,-9999,-9999,-9999,285.820,101825.,295.754,0.221749,0.343779,0.619728E-01,0.537246E-01,0.519680E-01,241.909,0.963180E-07,-9999,-9999,-9999,0.825225E-02,4.34210,-0.136615E-01,0.624813E-02,-0.176784E-01,0.258794E-01,-0.800398,0.464114E-04,-9999,0.443189E-01,0.468197E-01,-0.427660E-01,1.66440,-0.807114E-04,-9999,0.246766E-01,-0.533649E-02,1.61056,-0.143337E-04,-9999,-9999,-9999,0.195660E-02,0.142574E-01,0.470902,0.586327,0.248943,0.231786,0.227965,15.5534,0.310351E-03,-9999,-9999,-9999,0.908419E-01,2.08377,-0.214226,-0.122760,0.236507,0.561598E-01,2.45284,0.230568,0.562583,-9999,-9999,-9999,0.178297,0.133655,3.60812,2.48110,3.73908,2.48517,8.12368,2.28526,3.11452,-9999,-9999,-9999,2.08683,2.40165
