fifth_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_and_tilt_correction
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,36000,1.56274,0.213857E-12,-0.425392E-14,288.502,18.5221,486.321,0.906276E-01,-9999,-9999,-9999,285.023,102061.,117.189,0.716633E-01,0.195214,0.117002E-01,0.136100E-01,0.146655E-02,29.8039,0.175983E-07,-9999,-9999,-9999,0.731151E-02,14.7497,-0.312609E-02,-0.158115E-02,0.211250E-02,-0.211363E-02,0.914490E-01,-0.754233E-05,-9999,-0.536233E-02,0.447851E-02,0.828300E-02,-0.145084,-0.287588E-04,-9999,0.579920E-02,-0.920676E-03,0.281595,-0.157202E-05,-9999,-9999,-9999,-0.107538E-02,0.467521E-01,0.267700,0.441831,0.108167,0.116662,0.382955E-01,5.45930,0.132659E-03,-9999,-9999,-9999,0.855074E-01,3.84053,0.392482E-01,1.22740,0.182694,0.896434,1.34383,1.08330,0.449259E-01,-9999,-9999,-9999,-0.291899,0.235969,2.63690,4.30427,3.71511,3.62952,5.83469,3.74305,2.62858,-9999,-9999,-9999,1.89094,2.35477
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,36000,1.28196,-0.623583E-13,-0.159351E-14,288.587,18.6698,484.375,0.905851E-01,-9999,-9999,-9999,285.287,102044.,62.0344,0.105598,0.200785,0.991426E-02,0.153740E-01,0.941795E-02,38.7502,0.162829E-07,-9999,-9999,-9999,0.121044E-01,112.387,-0.194326E-01,-0.839496E-02,-0.164145E-01,-0.153299E-01,-0.341566E-01,0.146255E-04,-9999,-0.384887E-02,-0.605303E-02,-0.522885E-02,-0.155931E-01,-0.220825E-04,-9999,0.517847E-02,-0.315364E-03,0.272788,-0.262068E-05,-9999,-9999,-9999,0.572426E-03,-0.413092E-01,0.324958,0.448090,0.995704E-01,0.123992,0.970461E-01,6.22497,0.127605E-03,-9999,-9999,-9999,0.110020,10.6013,0.134892,-0.171096,-0.139835,0.319421,0.461744,0.812815,-0.269406,-9999,-9999,-9999,-0.300025E-01,-0.560092,2.72536,2.17716,4.18006,2.75232,2.10487,3.41228,2.93777,-9999,-9999,-9999,1.47307,2.66971
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,36000,1.36995,-0.411687E-13,-0.202899E-14,288.584,18.4855,482.318,0.898226E-01,-9999,-9999,-9999,285.564,101989.,34.5321,0.736339E-01,0.391539E-01,0.898124E-02,0.165025E-01,0.908394E-02,57.6404,0.338100E-06,-9999,-9999,-9999,0.151214E-01,268.013,0.612883E-02,-0.464593E-02,-0.140965E-01,0.130608E-01,-0.484429,0.605565E-04,-9999,0.110528E-03,-0.837398E-02,0.606752E-02,-0.992831E-01,0.443375E-04,-9999,0.452089E-02,-0.364091E-03,0.313286,-0.213719E-05,-9999,-9999,-9999,0.268059E-03,-0.102622E-01,0.271356,0.197873,0.947694E-01,0.128462,0.953097E-01,7.59213,0.581463E-03,-9999,-9999,-9999,0.122969,16.3711,0.120032,0.238907E-01,0.123018,1.24462,-0.420374,1.37389,-0.704361,-9999,-9999,-9999,0.356394,-0.325470,3.34941,2.92397,3.73004,6.05406,1.97891,5.71266,2.38740,-9999,-9999,-9999,1.94392,1.78564
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,36000,0.498521,0.174879E-12,0.181240E-13,288.682,18.1259,484.600,0.878698E-01,-9999,-9999,-9999,286.115,101935.,48.4607,0.113889,0.116740,0.165333E-01,0.421627E-01,0.990650E-02,177.848,0.210301E-06,-9999,-9999,-9999,0.223999E-01,223.924,0.532299E-03,0.149015E-02,0.202504E-02,0.109925E-01,-0.205776,0.460073E-04,-9999,-0.892732E-02,-0.106943E-01,-0.208337E-01,-0.190343,-0.807840E-04,-9999,0.160486E-01,0.269340E-03,0.971241,0.112551E-06,-9999,-9999,-9999,-0.188238E-02,0.354070,0.337475,0.341673,0.128582,0.205336,0.995314E-01,13.3360,0.458586E-03,-9999,-9999,-9999,0.149666,14.9641,-0.499719,-0.950615E-02,0.894984E-02,1.31030,0.541762,1.22652,0.638811,-9999,-9999,-9999,-0.367579,0.167781,3.05410,2.27810,3.17749,5.13309,1.89616,3.97898,2.17895,-9999,-9999,-9999,2.22939,1.62776
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,36000,0.722890,-0.895461E-13,-0.990056E-14,288.824,18.3698,485.052,0.880713E-01,-9999,-9999,-9999,286.235,101892.,326.990,0.199703,0.195812,0.262648E-01,0.496311E-01,0.427102E-01,177.010,0.269929E-06,-9999,-9999,-9999,0.474826E-02,186.535,0.522466E-01,-0.182659E-02,0.196860E-01,0.166692E-01,0.946249,0.418787E-04,-9999,-0.471641E-02,-0.153228E-01,-0.480327E-01,-0.129638,-0.115040E-03,-9999,0.174723E-01,0.124411E-02,1.01462,-0.219744E-05,-9999,-9999,-9999,0.590470E-04,-0.271408,0.446881,0.442506,0.162064,0.222780,0.206664,13.3045,0.519547E-03,-9999,-9999,-9999,0.689076E-01,13.6578,0.835446E-01,-0.420146,0.264108E-01,0.768633,-0.484514,1.17899,0.571634,-9999,-9999,-9999,-0.688290,0.116780,2.79110,3.52769,3.23461,3.84459,2.12446,3.95622,2.42980,-9999,-9999,-9999,3.36916,1.76467
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,36000,1.10204,-0.482120E-13,0.336526E-14,289.105,18.3371,494.112,0.885991E-01,-9999,-9999,-9999,286.398,101850.,302.588,0.452901,0.315742,0.349336E-01,0.549204E-01,0.348328E-01,272.838,0.217155E-06,-9999,-9999,-9999,0.795093E-02,174.343,0.109638,-0.125863E-01,0.378311E-01,-0.696706E-01,3.06448,-0.180440E-03,-9999,-0.739231E-03,0.181770E-02,-0.213402E-01,1.20449,-0.147889E-03,-9999,0.202759E-01,-0.350913E-02,1.31751,-0.103674E-04,-9999,-9999,-9999,0.164631E-02,-0.389796E-01,0.672979,0.561910,0.186905,0.234351,0.186636,16.5178,0.465999E-03,-9999,-9999,-9999,0.891680E-01,13.2039,-0.109135,0.363562E-01,0.230938,0.679083,-0.298058,0.563708,-0.283838,-9999,-9999,-9999,1.06312,-0.123549E-02,2.04359,2.26919,3.71020,3.05985,1.87053,2.50222,2.06385,-9999,-9999,-9999,3.53542,1.68000
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,36000,1.72999,0.548453E-13,-0.507213E-14,289.338,18.1956,503.670,0.884324E-01,-9999,-9999,-9999,286.362,101815.,297.096,0.324717,0.249514,0.475474E-01,0.700871E-01,0.835180E-02,279.752,0.198929E-06,-9999,-9999,-9999,0.703358E-02,81.4536,0.157817,-0.364827E-01,-0.330567E-01,-0.137998E-01,-1.76911,-0.954581E-04,-9999,-0.928271E-02,-0.340360E-02,-0.196893E-01,-0.463639,-0.863948E-04,-9999,0.286642E-01,-0.482339E-02,1.68740,-0.162846E-04,-9999,-9999,-9999,0.324602E-02,0.505035E-01,0.569839,0.499514,0.218054,0.264740,0.913882E-01,16.7258,0.446015E-03,-9999,-9999,-9999,0.838664E-01,9.02516,0.152455,0.207063E-01,0.310424,0.350509,-0.497755,0.274465,0.395660E-01,-9999,-9999,-9999,0.290697,-0.282484,3.05442,2.84244,3.60647,2.47408,2.49067,2.26471,2.89338,-9999,-9999,-9999,2.11198,2.10864
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,36000,2.48513,0.553009E-13,-0.466673E-14,289.383,18.1317,500.057,0.881231E-01,-9999,-9999,-9999,286.088,101803.,281.484,0.337705,0.217832,0.713380E-01,0.501644E-01,0.755404E-02,192.280,0.208220E-06,-9999,-9999,-9999,0.626145E-02,10.6507,0.283630E-01,-0.530023E-01,-0.489805E-01,0.145126E-02,-2.80509,-0.397476E-04,-9999,-0.896885E-02,-0.195237E-02,0.489830E-02,-0.789767,0.679987E-04,-9999,0.276347E-01,-0.450050E-02,1.56509,-0.946891E-05,-9999,-9999,-9999,0.210175E-02,0.196625E-01,0.581124,0.466725,0.267092,0.223974,0.869140E-01,13.8665,0.456312E-03,-9999,-9999,-9999,0.791293E-01,3.26355,-0.132289,-0.963845E-01,0.242644,-0.239221E-01,0.812965,0.252687E-01,1.04633,-9999,-9999,-9999,0.120680,-0.929533E-01,2.47967,3.02498,3.64345,2.63133,3.92811,2.43727,3.74200,-9999,-9999,-9999,2.52222,2.58908
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,36000,2.05374,0.104103E-12,-0.231687E-14,289.208,17.8802,498.632,0.868783E-01,-9999,-9999,-9999,285.820,101825.,295.754,0.327192,0.238484,0.618257E-01,0.537246E-01,0.519680E-01,241.909,0.963180E-07,-9999,-9999,-9999,0.825225E-02,4.34210,0.441549E-01,-0.438658E-01,-0.400981E-01,0.338915E-01,-1.37887,0.646457E-04,-9999,-0.624883E-02,-0.300007E-01,0.367510E-01,-1.23166,0.670250E-04,-9999,0.246098E-01,-0.527995E-02,1.60826,-0.142259E-04,-9999,-9999,-9999,0.197769E-02,0.141078E-01,0.572007,0.488348,0.248648,0.231786,0.227965,15.5534,0.310351E-03,-9999,-9999,-9999,0.908419E-01,2.08377,0.867231E-01,-0.122456E-01,0.237856,0.561598E-01,2.45284,0.230568,0.562583,-9999,-9999,-9999,0.178297,0.133655,2.56059,3.22164,3.74337,2.48517,8.12368,2.28526,3.11452,-9999,-9999,-9999,2.08683,2.40165
