seventh_statistics:seventh_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_tilt_correction_time-lag_compensation_and_detrending
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,36000,1.56274,0.213857E-12,-0.425392E-14,288.502,18.5221,486.321,0.906276E-01,-9999,-9999,-9999,285.023,102061.,117.189,0.716633E-01,0.195214,0.117002E-01,0.136100E-01,0.146655E-02,29.8039,0.175980E-07,-9999,-9999,-9999,0.731151E-02,14.7497,-0.312609E-02,-0.158115E-02,0.211250E-02,-0.211363E-02,0.914490E-01,-0.756926E-05,-9999,-0.536233E-02,0.447851E-02,0.828300E-02,-0.145084,-0.286937E-04,-9999,0.579920E-02,-0.920676E-03,0.281595,-0.164222E-05,-9999,-9999,-9999,-0.107538E-02,0.467521E-01,0.267700,0.441831,0.108167,0.116662,0.382955E-01,5.45930,0.132657E-03,-9999,-9999,-9999,0.855073E-01,3.84053,0.392482E-01,1.22740,0.182694,0.896434,1.34383,1.08330,0.448245E-01,-9999,-9999,-9999,-0.291899,0.235969,2.63690,4.30427,3.71511,3.62953,5.83469,3.74305,2.62870,-9999,-9999,-9999,1.89094,2.35477
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,36000,1.28196,-0.623583E-13,-0.159351E-14,288.587,18.6698,484.375,0.905851E-01,-9999,-9999,-9999,285.287,102044.,62.0344,0.105598,0.200785,0.991426E-02,0.153740E-01,0.941759E-02,38.7530,0.162834E-07,-9999,-9999,-9999,0.121044E-01,112.387,-0.194326E-01,-0.839496E-02,-0.164145E-01,-0.153033E-01,-0.429780E-01,0.146304E-04,-9999,-0.384887E-02,-0.605303E-02,-0.524909E-02,-0.119309E-01,-0.220783E-04,-9999,0.517847E-02,-0.330675E-03,0.282710,-0.262410E-05,-9999,-9999,-9999,0.572426E-03,-0.413092E-01,0.324958,0.448090,0.995704E-01,0.123992,0.970443E-01,6.22519,0.127606E-03,-9999,-9999,-9999,0.110020,10.6013,0.134892,-0.171096,-0.139835,0.319421,0.461654,0.812707,-0.269409,-9999,-9999,-9999,-0.300025E-01,-0.560092,2.72536,2.17716,4.18006,2.75232,2.10484,3.41197,2.93769,-9999,-9999,-9999,1.47307,2.66971
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,36000,1.36995,-0.411687E-13,-0.202899E-14,288.584,18.4855,482.318,0.898226E-01,-9999,-9999,-9999,285.564,101989.,34.5321,0.736339E-01,0.391539E-01,0.898124E-02,0.165025E-01,0.908483E-02,57.6416,0.338097E-06,-9999,-9999,-9999,0.151214E-01,268.013,0.612883E-02,-0.464593E-02,-0.140965E-01,0.130899E-01,-0.510000,0.606407E-04,-9999,0.110528E-03,-0.837398E-02,0.606329E-02,-0.102218,0.443323E-04,-9999,0.452089E-02,-0.387646E-03,0.334166,-0.216265E-05,-9999,-9999,-9999,0.268059E-03,-0.102622E-01,0.271356,0.197873,0.947694E-01,0.128462,0.953144E-01,7.59221,0.581461E-03,-9999,-9999,-9999,0.122969,16.3711,0.120032,0.238907E-01,0.123018,1.24462,-0.420247,1.37418,-0.704268,-9999,-9999,-9999,0.356394,-0.325470,3.34941,2.92397,3.73004,6.05406,1.97867,5.71345,2.38728,-9999,-9999,-9999,1.94392,1.78564
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,36000,0.498521,0.174879E-12,0.181240E-13,288.682,18.1259,484.602,0.878698E-01,-9999,-9999,-9999,286.115,101935.,48.4607,0.113889,0.116740,0.165333E-01,0.421627E-01,0.990650E-02,177.856,0.210301E-06,-9999,-9999,-9999,0.223999E-01,223.924,0.532299E-03,0.149015E-02,0.202504E-02,0.109925E-01,-0.228788,0.460073E-04,-9999,-0.892732E-02,-0.106943E-01,-0.208337E-01,-0.182042,-0.807840E-04,-9999,0.160486E-01,0.269340E-03,1.00396,0.112551E-06,-9999,-9999,-9999,-0.188238E-02,0.354070,0.337475,0.341673,0.128582,0.205336,0.995314E-01,13.3363,0.458586E-03,-9999,-9999,-9999,0.149666,14.9641,-0.499719,-0.950615E-02,0.894984E-02,1.31030,0.541762,1.22633,0.638811,-9999,-9999,-9999,-0.367579,0.167781,3.05410,2.27810,3.17749,5.13309,1.89616,3.97851,2.17895,-9999,-9999,-9999,2.22939,1.62776
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,36000,0.722890,-0.895461E-13,-0.990056E-14,288.824,18.3698,485.053,0.880714E-01,-9999,-9999,-9999,286.235,101892.,326.990,0.199703,0.195812,0.262648E-01,0.496311E-01,0.427102E-01,177.015,0.269919E-06,-9999,-9999,-9999,0.474825E-02,186.535,0.522466E-01,-0.182659E-02,0.196860E-01,0.166692E-01,0.932795,0.419720E-04,-9999,-0.471641E-02,-0.153228E-01,-0.480327E-01,-0.130814,-0.115077E-03,-9999,0.174723E-01,0.124411E-02,1.01928,-0.243356E-05,-9999,-9999,-9999,0.590470E-04,-0.271408,0.446881,0.442506,0.162064,0.222780,0.206664,13.3047,0.519537E-03,-9999,-9999,-9999,0.689076E-01,13.6578,0.835446E-01,-0.420146,0.264108E-01,0.768633,-0.484514,1.17890,0.571487,-9999,-9999,-9999,-0.688291,0.116780,2.79110,3.52769,3.23461,3.84459,2.12446,3.95602,2.42973,-9999,-9999,-9999,3.36917,1.76467
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,36000,1.10204,-0.482120E-13,0.336526E-14,289.105,18.3371,494.112,0.885991E-01,-9999,-9999,-9999,286.398,101850.,302.588,0.452901,0.315742,0.349336E-01,0.549204E-01,0.348328E-01,272.838,0.217173E-06,-9999,-9999,-9999,0.795093E-02,174.343,0.109638,-0.125863E-01,0.378311E-01,-0.696706E-01,3.06448,-0.180062E-03,-9999,-0.739231E-03,0.181770E-02,-0.213402E-01,1.20449,-0.147975E-03,-9999,0.202759E-01,-0.350913E-02,1.31751,-0.105968E-04,-9999,-9999,-9999,0.164631E-02,-0.389796E-01,0.672979,0.561910,0.186905,0.234351,0.186636,16.5178,0.466018E-03,-9999,-9999,-9999,0.891680E-01,13.2039,-0.109135,0.363562E-01,0.230938,0.679084,-0.298058,0.563708,-0.283796,-9999,-9999,-9999,1.06312,-0.123549E-02,2.04359,2.26919,3.71020,3.05985,1.87053,2.50222,2.06368,-9999,-9999,-9999,3.53543,1.68000
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,36000,1.72999,0.548453E-13,-0.507213E-14,289.338,18.1956,503.670,0.884324E-01,-9999,-9999,-9999,286.362,101815.,297.096,0.324717,0.249514,0.475474E-01,0.700871E-01,0.835150E-02,279.751,0.198936E-06,-9999,-9999,-9999,0.703357E-02,81.4536,0.157817,-0.364827E-01,-0.330567E-01,-0.138307E-01,-1.75713,-0.952580E-04,-9999,-0.928271E-02,-0.340360E-02,-0.197269E-01,-0.449615,-0.862177E-04,-9999,0.286642E-01,-0.484403E-02,1.69748,-0.165241E-04,-9999,-9999,-9999,0.324602E-02,0.505035E-01,0.569839,0.499514,0.218054,0.264740,0.913865E-01,16.7258,0.446023E-03,-9999,-9999,-9999,0.838664E-01,9.02516,0.152455,0.207063E-01,0.310424,0.350509,-0.497825,0.274530,0.396532E-01,-9999,-9999,-9999,0.290698,-0.282484,3.05442,2.84244,3.60647,2.47408,2.49086,2.26479,2.89334,-9999,-9999,-9999,2.11198,2.10864
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,36000,2.48513,0.553009E-13,-0.466673E-14,289.383,18.1317,500.057,0.881231E-01,-9999,-9999,-9999,286.088,101803.,281.484,0.337705,0.217832,0.713380E-01,0.501644E-01,0.755410E-02,192.275,0.208228E-06,-9999,-9999,-9999,0.626145E-02,10.6507,0.283630E-01,-0.530023E-01,-0.489805E-01,0.138021E-02,-2.78032,-0.394095E-04,-9999,-0.896885E-02,-0.195237E-02,0.479329E-02,-0.743189,0.685195E-04,-9999,0.276347E-01,-0.454292E-02,1.58705,-0.992103E-05,-9999,-9999,-9999,0.210175E-02,0.196625E-01,0.581124,0.466725,0.267092,0.223974,0.869143E-01,13.8663,0.456320E-03,-9999,-9999,-9999,0.791293E-01,3.26355,-0.132289,-0.963845E-01,0.242644,-0.239221E-01,0.812924,0.252331E-01,1.04625,-9999,-9999,-9999,0.120680,-0.929533E-01,2.47967,3.02498,3.64345,2.63133,3.92806,2.43736,3.74179,-9999,-9999,-9999,2.52222,2.58908
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,36000,2.05374,0.104103E-12,-0.231687E-14,289.208,17.8802,498.632,0.868783E-01,-9999,-9999,-9999,285.820,101825.,295.754,0.327192,0.238484,0.618257E-01,0.537246E-01,0.519680E-01,241.909,0.963121E-07,-9999,-9999,-9999,0.825224E-02,4.34210,0.441549E-01,-0.438658E-01,-0.400981E-01,0.338915E-01,-1.37887,0.656284E-04,-9999,-0.624883E-02,-0.300007E-01,0.367510E-01,-1.23166,0.675329E-04,-9999,0.246098E-01,-0.527995E-02,1.60826,-0.150787E-04,-9999,-9999,-9999,0.197769E-02,0.141078E-01,0.572007,0.488348,0.248648,0.231786,0.227965,15.5534,0.310342E-03,-9999,-9999,-9999,0.908419E-01,2.08377,0.867231E-01,-0.122456E-01,0.237856,0.561598E-01,2.45284,0.230568,0.562815,-9999,-9999,-9999,0.178297,0.133655,2.56059,3.22164,3.74337,2.48517,8.12368,2.28526,3.11514,-9999,-9999,-9999,2.08683,2.40165
