seventh_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_tilt_correction_time-lag_compensation_and_detrending
filename,date,time,DOY,n_samples,mean(air_t),st_dev(air_t),skw(air_t),kur(air_t),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500),mean(rssi_77),st_dev(rssi_77),skw(rssi_77),kur(rssi_77)
2021-12-03T100000_smart3-00551.ghg,2021-12-03,10:30,337.4374,36000,284.007,0.108364,-0.397338,1.95413,102262.,8.11379,0.251457,2.99102,88.0249,0.806582E-01,-0.883289,3.58078,58.1788,0.178156,-0.426165,3.05443
2021-12-03T103000_smart3-00551.ghg,2021-12-03,11:00,337.4582,36000,284.353,0.122854,-0.217511,1.59626,102246.,10.5415,-0.285030,2.81844,88.1820,0.611433E-01,-0.659632,3.19919,57.9166,0.220790,-1.00423,5.13843
2021-12-03T110000_smart3-00551.ghg,2021-12-03,11:30,337.4790,36000,284.621,0.111101,0.859244,2.49145,102196.,17.3769,-0.205812,1.90406,88.2610,0.559364E-01,-0.590993,3.96809,58.1014,0.147177,-1.30961,12.0666
2021-12-03T113000_smart3-00551.ghg,2021-12-03,12:00,337.4999,36000,285.298,0.229379,-0.230932,2.44918,102140.,22.2777,-0.262149,1.82589,88.3948,0.711740E-01,-0.399926,2.46325,58.9748,0.201205,-1.42264,10.5678
2021-12-03T120000_smart3-00551.ghg,2021-12-03,12:30,337.5207,36000,285.500,0.930431E-01,0.393827,2.21625,102089.,18.2133,-0.293138,1.95068,88.4417,0.648496E-01,-1.85825,7.74311,58.4771,0.760220,-47.8830,2655.74
2021-12-03T123000_smart3-00551.ghg,2021-12-03,13:00,337.5415,36000,285.541,0.921243E-01,1.21259,4.14462,102040.,14.3927,0.176125,1.87324,88.3630,0.934595E-01,-0.985922,3.67896,57.9912,0.341592,-0.685032,3.23698
2021-12-03T130000_smart3-00551.ghg,2021-12-03,13:30,337.5624,36000,285.470,0.749799E-01,0.315060,2.18257,102000.,11.8255,-0.348458,2.73111,88.2398,0.112563,-0.762005,3.29249,56.2275,0.580301,0.735205,3.46188
2021-12-03T133000_smart3-00551.ghg,2021-12-03,14:00,337.5832,36000,285.206,0.769948E-01,0.542283,3.28200,102007.,9.83699,-1.29398,5.04350,88.1608,0.997321E-01,-0.204433,2.73873,54.7998,0.517653,0.445419E-01,2.35560
not_enough_data,2021-12-03,14:30,337.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-03T143000_smart3-00551.ghg,2021-12-03,15:00,337.6249,36000,284.933,0.659453E-01,0.143147,2.11054,102029.,5.43970,0.622445E-02,2.95633,90.5106,0.535404E-02,-0.130365,2.65486,56.6557,3.01681,-0.469832,2.59581
