forth statistics:_on_raw_data_after_despiking_cross_wind_correction_and_angle-of-attack_correction
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2021-12-19T110000_smart3-00551.ghg,2021-12-19,11:30,353.4790,36000,-0.802804,-0.690334,-0.158786E-01,285.920,18.3296,391.450,0.921794E-01,-9999,-9999,-9999,284.390,101911.,330.861,0.539289E-01,0.163148,0.119102E-01,0.838370E-01,0.277751E-02,296.232,0.717421E-06,-9999,-9999,-9999,0.441215E-01,54.4113,-0.278324E-01,0.204270E-02,0.222880E-01,-0.814037E-03,1.40933,-0.592126E-04,-9999,0.102488E-01,-0.487997E-01,-0.882637E-02,-2.10030,-0.221398E-04,-9999,0.987361E-02,-0.143368E-02,0.802776,0.451577E-05,-9999,-9999,-9999,-0.970018E-03,0.118538E-03,0.232226,0.403916,0.109134,0.289546,0.527021E-01,17.2114,0.847007E-03,-9999,-9999,-9999,0.210051,7.37640,0.480622,-0.475810,0.440789,1.18055,0.382161,0.980004,0.810414,-9999,-9999,-9999,-0.343615,0.882817,3.79271,3.43276,4.27412,4.00771,2.52449,3.63163,3.09511,-9999,-9999,-9999,3.25155,2.82547
2021-12-19T113000_smart3-00551.ghg,2021-12-19,12:00,353.4999,36000,-0.772361,-1.90010,-0.750236E-01,287.366,18.2853,419.510,0.903733E-01,-9999,-9999,-9999,284.879,101896.,301.312,0.130333,0.144956,0.338198E-01,0.146097,0.800786E-02,292.586,0.811789E-06,-9999,-9999,-9999,0.182619E-01,56.9510,0.235459E-02,0.495297E-02,0.373990E-01,-0.754352E-02,0.743689,-0.616415E-04,-9999,0.223527E-01,0.165185E-01,-0.653011E-03,1.46205,0.174844E-04,-9999,0.176334E-01,-0.150248E-02,1.39285,0.654996E-06,-9999,-9999,-9999,-0.132910E-02,0.845716E-01,0.361017,0.380731,0.183901,0.382227,0.894867E-01,17.1051,0.900993E-03,-9999,-9999,-9999,0.135137,7.54659,0.399877,0.226089,0.244450,0.102507,0.339857,0.567755,0.733782,-9999,-9999,-9999,0.410392,-0.483120,3.70761,2.89500,3.83160,2.32435,2.73627,2.67292,2.42149,-9999,-9999,-9999,2.13060,2.17873
2021-12-19T120000_smart3-00551.ghg,2021-12-19,12:30,353.5207,36000,-0.623360,-2.14546,-0.664894E-01,287.280,18.0864,434.541,0.886938E-01,-9999,-9999,-9999,285.397,101859.,295.514,0.209065,0.314775,0.601431E-01,0.185024,0.620441E-02,472.946,0.286340E-06,-9999,-9999,-9999,0.233825E-01,94.4821,0.639317E-02,0.640348E-02,-0.127588E-01,-0.750221E-03,-0.439568,-0.410479E-05,-9999,0.456613E-01,0.472181E-01,-0.139052E-01,4.24963,-0.112350E-03,-9999,0.401827E-01,-0.500118E-02,2.45822,-0.302347E-04,-9999,-9999,-9999,0.350659E-02,0.418012E-03,0.457237,0.561048,0.245241,0.430145,0.787681E-01,21.7473,0.535108E-03,-9999,-9999,-9999,0.152913,9.72019,-0.155522,-0.609466E-01,0.186349,0.146885,1.31308,0.570992,1.58255,-9999,-9999,-9999,0.542069E-02,0.806931,2.90139,2.73710,3.53303,2.63841,7.41644,2.65802,8.50521,-9999,-9999,-9999,2.14720,2.51018
2021-12-19T123000_smart3-00551.ghg,2021-12-19,13:00,353.5415,36000,-0.554246,-2.41770,-0.478459E-01,287.507,18.1120,440.100,0.890554E-01,-9999,-9999,-9999,285.592,101842.,292.020,0.283472,0.433576,0.831737E-01,0.140031,0.242182E-01,423.215,0.248152E-06,-9999,-9999,-9999,0.130463E-01,62.4219,0.280834E-01,0.776354E-02,0.130781E-01,0.223523E-01,-0.649740,0.436743E-05,-9999,0.721044E-01,0.929511E-01,-0.974656E-02,5.57275,-0.976757E-04,-9999,0.490429E-01,-0.843342E-02,2.67182,-0.300315E-04,-9999,-9999,-9999,0.327823E-02,0.332075E-01,0.532421,0.658465,0.288399,0.374207,0.155622,20.5722,0.498148E-03,-9999,-9999,-9999,0.114220,7.90075,0.156735,-0.243949,0.286755,0.257767,1.34052,0.367442,0.193373,-9999,-9999,-9999,0.160089,0.280064,2.99945,2.57596,3.59754,2.46784,5.45354,2.56097,2.55886,-9999,-9999,-9999,2.19356,1.52013
2021-12-19T130000_smart3-00551.ghg,2021-12-19,13:30,353.5624,36000,-0.613018,-2.40779,-0.179632E-01,287.933,17.9542,442.068,0.888086E-01,-9999,-9999,-9999,285.887,101830.,293.595,0.292534,0.523531,0.962593E-01,0.181284,0.141384E-01,415.619,0.265154E-06,-9999,-9999,-9999,0.210789E-01,18.8789,0.234937E-01,0.780031E-02,0.345778E-01,-0.160325E-02,0.198979,0.311635E-04,-9999,0.831156E-01,0.658167E-01,0.957751E-03,4.79538,-0.154640E-04,-9999,0.572384E-01,-0.655905E-02,2.76444,-0.307753E-04,-9999,-9999,-9999,0.670040E-02,0.338363E-01,0.540864,0.723554,0.310257,0.425775,0.118905,20.3867,0.514931E-03,-9999,-9999,-9999,0.145186,4.34499,0.933706E-01,-0.415891,0.212206,0.425752E-01,1.98340,0.158261,0.482271,-9999,-9999,-9999,-0.349800,-1.10471,3.48209,3.01737,3.61402,2.23437,8.18428,2.31243,3.43442,-9999,-9999,-9999,2.44361,4.58339
2021-12-19T133000_smart3-00551.ghg,2021-12-19,14:00,353.5832,36000,-0.728890,-2.60331,-0.433898E-01,288.091,17.8800,437.611,0.881498E-01,-9999,-9999,-9999,285.980,101802.,294.896,0.302119,0.419323,0.106011,0.239438,0.225931E-01,469.588,0.909983E-07,-9999,-9999,-9999,0.437864E-01,30.6659,0.320896E-02,0.424585E-02,0.118026E-01,-0.436784E-02,-1.74826,0.119360E-04,-9999,0.901818E-01,0.121572,-0.160444E-01,6.55544,-0.357819E-04,-9999,0.720844E-01,-0.104616E-01,3.35593,-0.305002E-04,-9999,-9999,-9999,0.711124E-02,0.145870,0.549654,0.647552,0.325594,0.489324,0.150310,21.6700,0.301659E-03,-9999,-9999,-9999,0.209252,5.53768,-0.671954E-01,-0.162594,0.305033,-0.439135E-01,2.88477,0.389156,-0.208526,-9999,-9999,-9999,-1.08728,1.03674,3.17407,2.78011,3.32212,2.19237,13.9024,2.51372,2.99332,-9999,-9999,-9999,4.23896,3.39145
2021-12-19T140000_smart3-00551.ghg,2021-12-19,14:30,353.6040,36000,-0.735672,-2.91880,-0.667834E-01,288.618,17.7026,438.408,0.873477E-01,-9999,-9999,-9999,285.691,101798.,291.467,0.535830,0.763519,0.127066,0.926198E-01,0.100856E-01,271.366,0.182299E-05,-9999,-9999,-9999,0.819371E-01,9.59624,0.327754,0.143589E-01,-0.630120E-02,0.436660E-01,-2.17813,0.684768E-03,-9999,0.105179,0.514158E-01,0.433461E-01,1.00184,0.709953E-03,-9999,0.469905E-01,-0.379046E-02,2.22791,0.104487E-04,-9999,-9999,-9999,0.496698E-03,0.348167E-05,0.732004,0.873796,0.356463,0.304335,0.100427,16.4732,0.135018E-02,-9999,-9999,-9999,0.286247,3.09778,-0.226184,-0.348833,0.270338,0.249810,0.361167,0.475612,0.536887,-9999,-9999,-9999,-0.568978,-0.349831,2.61857,2.45459,4.05995,3.20361,1.91249,2.97819,1.81140,-9999,-9999,-9999,2.01380,3.32969
2021-12-19T143000_smart3-00551.ghg,2021-12-19,15:00,353.6249,36000,-0.663277,-3.20530,-0.571639E-01,288.528,17.4279,440.576,0.847158E-01,-9999,-9999,-9999,286.091,101772.,290.937,0.360947,0.630385,0.144640,0.191665,0.382541E-02,333.662,0.188310E-06,-9999,-9999,-9999,0.623545E-01,45.0019,0.116137E-01,0.618842E-02,0.210358E-01,-0.894893E-02,0.299757,-0.287680E-04,-9999,0.128924,0.189777,-0.159613E-01,7.30511,-0.304796E-04,-9999,0.713052E-01,-0.676318E-02,2.88903,-0.197855E-04,-9999,-9999,-9999,0.863735E-02,0.161933,0.600788,0.793968,0.380315,0.437796,0.618499E-01,18.2664,0.433947E-03,-9999,-9999,-9999,0.249709,6.70835,-0.788326E-01,-0.182975,0.138433,-0.135930,0.750461,0.193826,1.17899,-9999,-9999,-9999,-1.15821,0.905982,2.98791,2.76600,3.22629,2.54226,3.93432,2.73296,4.78885,-9999,-9999,-9999,3.93731,3.08259
not_enough_data,2021-12-19,15:30,353.645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-19T153000_smart3-00551.ghg,2021-12-19,16:00,353.6665,36000,-0.867728,-3.00336,-0.599028E-01,288.787,17.4884,425.635,0.855172E-01,-9999,-9999,-9999,284.984,101806.,295.317,0.218218,0.513649,0.129055,0.476319E-02,0.187533E-03,84.9211,0.907804E-06,-9999,-9999,-9999,0.818707E-02,15.6974,0.522248E-01,0.140566E-01,0.242107E-02,-0.253978E-03,0.810737,0.107338E-03,-9999,0.109802,0.160281E-01,-0.422531E-02,3.94181,0.759409E-04,-9999,0.670585E-02,-0.157687E-02,1.34131,0.204180E-05,-9999,-9999,-9999,-0.289992E-03,0.111675,0.467138,0.716693,0.359242,0.690159E-01,0.136943E-01,9.21526,0.952787E-03,-9999,-9999,-9999,0.904824E-01,3.96200,-0.173782,-0.813957E-01,0.130289,-0.237903,-0.159248,-0.126484,5.64309,-9999,-9999,-9999,0.467803E-01,0.332791,3.44405,2.57290,3.50397,3.23999,3.28293,2.99358,35.6276,-9999,-9999,-9999,1.44391,2.35672
