forth_statistics:_on_raw_data_after_despiking_cross_wind_correction_and_angle-of-attack_correction
filename,date,time,DOY,n_samples,mean(air_t),st_dev(air_t),skw(air_t),kur(air_t),mean(air_p),st_dev(air_p),skw(air_p),kur(air_p),mean(co2_signal_strength_7500),st_dev(co2_signal_strength_7500),skw(co2_signal_strength_7500),kur(co2_signal_strength_7500),mean(rssi_77),st_dev(rssi_77),skw(rssi_77),kur(rssi_77)
2021-12-19T110000_smart3-00551.ghg,2021-12-19,11:30,353.4790,36000,283.375,0.230722,-0.867531E-01,2.49850,102118.,11.9857,0.236427,2.23449,89.1487,0.895166E-02,-1.10475,4.26857,33.9005,0.881170,-1.01552,4.12240
2021-12-19T113000_smart3-00551.ghg,2021-12-19,12:00,353.4999,36000,283.819,0.101475,0.244831,2.47850,102099.,8.63713,-0.249260,2.82060,89.1399,0.134278E-01,0.786508,4.65744,33.2155,1.06716,-0.662678,3.10323
2021-12-19T120000_smart3-00551.ghg,2021-12-19,12:30,353.5207,36000,284.337,0.146074,-0.361604E-01,2.04996,102069.,10.6825,0.569192,2.70755,89.1310,0.126748E-01,-1.16580,4.48567,33.0892,1.29572,-0.785058,3.32460
2021-12-19T123000_smart3-00551.ghg,2021-12-19,13:00,353.5415,36000,284.553,0.889970E-01,0.391512,2.65539,102056.,9.15847,0.144767,2.24927,89.1474,0.119303E-01,-0.732902,3.46099,33.4373,1.13639,-0.569594,3.11944
2021-12-19T130000_smart3-00551.ghg,2021-12-19,13:30,353.5624,36000,284.836,0.140889,-0.503870,2.69425,102044.,5.91343,-0.110663E-01,3.21763,89.1448,0.112607E-01,-0.356198,2.84729,33.2089,1.07858,-0.266756,2.59849
2021-12-19T133000_smart3-00551.ghg,2021-12-19,14:00,353.5832,36000,284.954,0.199119,-1.15070,4.37117,102016.,7.42533,0.575163,3.31638,89.1485,0.171938E-01,0.279737,2.59160,33.2887,1.05601,-0.437721,2.78445
2021-12-19T140000_smart3-00551.ghg,2021-12-19,14:30,353.6040,36000,284.675,0.329709,-0.581029,1.84824,102013.,5.61347,-0.401174E-01,3.02669,89.1524,0.159008E-01,-0.281795,2.69731,33.1086,0.894683,-0.611866,3.18232
2021-12-19T143000_smart3-00551.ghg,2021-12-19,15:00,353.6249,36000,285.191,0.237613,-1.33959,4.54157,101984.,10.0346,0.966081,3.55912,89.1478,0.163589E-01,-0.285906,3.06281,32.4488,0.974788,-0.475509,3.13208
not_enough_data,2021-12-19,15:30,353.645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-19T153000_smart3-00551.ghg,2021-12-19,16:00,353.6665,36000,284.022,0.845340E-01,-0.863438E-01,1.28841,102014.,6.76836,0.273379E-01,3.02203,89.4582,0.166451E-01,-0.319626,2.99686,54.4135,1.29231,-0.123008,2.85071
2021-12-19T160000_smart3-00551.ghg,2021-12-19,16:30,353.6873,36000,283.714,0.100743,0.760533,2.38982,102019.,7.00806,-0.118539,3.00260,89.4726,0.114786E-01,-0.260274,3.07810,54.8941,0.910448,-0.940669E-01,3.24824
2021-12-19T163000_smart3-00551.ghg,2021-12-19,17:00,353.7082,36000,283.361,0.165001,0.535720,1.73043,102025.,9.39965,0.196485,2.72749,89.4694,0.785217E-02,-0.113381,3.32406,55.1197,0.633654,-0.467214,3.25913
2021-12-19T170000_smart3-00551.ghg,2021-12-19,17:30,353.7290,36000,283.083,0.110817,0.673439,2.38515,102051.,11.0300,0.399242E-01,2.17523,89.4555,0.110667E-01,0.127483,2.29695,53.2056,0.862690,0.857067E-01,2.22053
