file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,co2_signal_strength_7500_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--
2021-12-19T110000_smart3-00551.ghg,2021-12-19,11:30,353.4790,1,36000,36000,-0.116869E-01,0,10.7383,1,42.1239,0,-0.576608,0,0.945066,0,0.128114E-01,2,-9999,-9999,-9999,-9999,-9999,-0.128599E-09,-0.274639E-11,-0.646723E-12,18.3296,425.263,429.161,0.500000E-01,0,391.451,9.08200,9.16524,0.100000,0,0.921794E-01,2.13325,2.15281,0.00000,1,285.920,284.390,101911.,1.24414,1010.28,0.232009E-01,0.612403E-01,0.705394E-02,925.802,1329.77,0.566973E-02,69.6210,403.973,279.011,-0.802804,-0.690334,-0.158786E-01,1.05892,-0.181984E-12,-0.701592E-14,1.05892,2.44259,330.861,220.692,-0.859189,-9999,0.969203E-01,0.114493,-7.49431,-0.282948,0.254922,-0.881472E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.115297E-01,1.01364,12.6903,1.02241,36.1092,1.14146,-1.33971,1.14146,0.810125,1.14146,0.540495E-02,1.18883,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,7,1,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.730727E-01,0.144237,0.116771E-01,0.838370E-01,0.277756E-02,296.223,0.717421E-06,0.100962E-01,-0.133971E-02,0.810125,0.540495E-05,283.375,102118.,89.1487,33.9005
2021-12-19T113000_smart3-00551.ghg,2021-12-19,12:00,353.4999,1,36000,36000,-0.236985E-01,0,17.6173,0,69.8644,0,-0.142109E-01,1,1.56817,0,0.114567E-01,2,0.803507,1.68162,-0.133520E-01,0.377455E-01,-0.195209E-02,0.101892E-09,0.233766E-11,0.503592E-12,18.2853,425.026,429.212,0.00000,0,419.510,9.75117,9.84719,0.00000,0,0.903733E-01,2.09663,2.11727,0.00000,1,287.366,284.879,101896.,1.24151,1010.66,0.232442E-01,0.101618,0.755957E-02,993.870,1373.56,0.608903E-02,72.3571,379.693,280.040,-0.772361,-1.90010,-0.750236E-01,2.05245,-0.396262E-13,0.557236E-14,2.05245,3.40500,301.312,247.879,-2.09481,-9999,0.138161,0.154555,-13.2327,-0.160247,0.252165,-0.101625,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.233843E-01,1.01344,20.7628,1.02769,59.3505,1.15015,-1.37553,1.15015,1.33218,1.15015,0.910962E-03,1.19450,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,14,3,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.146027,0.130764,0.323186E-01,0.146097,0.800786E-02,292.586,0.811789E-06,0.165475E-01,-0.137553E-02,1.33218,0.910962E-06,283.819,102099.,89.1399,33.2155
2021-12-19T120000_smart3-00551.ghg,2021-12-19,12:30,353.5207,1,36000,36000,-0.484458E-01,0,43.5620,0,123.662,0,-1.92100,0,2.77709,0,-0.112691E-01,0,0.847681,0.930777,-0.208640,0.209025E-01,-0.180246E-02,0.168989E-10,0.406011E-12,0.828705E-13,18.0864,421.319,425.628,0.00000,0,434.541,10.1226,10.2261,0.00000,0,0.886937E-01,2.06274,2.08383,0.100000,0,287.280,285.397,101859.,1.23863,1010.88,0.232948E-01,0.179955,0.783042E-02,1031.35,1421.23,0.632183E-02,72.5674,389.882,280.580,-0.623360,-2.14546,-0.664894E-01,2.23517,-0.172447E-13,0.934344E-15,2.23517,4.46119,295.514,253.799,-1.70462,-9999,0.197768,0.291992,-15.6932,-0.135122,0.352266,-0.175918,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.477867E-01,1.01379,48.7345,1.02901,104.172,1.15244,-4.59553,1.15244,2.33939,1.15244,-0.277948E-01,1.19626,800000009,800000009,800000009,800000009,800000019,800001019,899999999,899999999,89999,89999,89,89,3,4,0,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.312465,0.213869,0.576504E-01,0.185024,0.620441E-02,472.946,0.286288E-06,0.389220E-01,-0.459553E-02,2.33939,-0.277948E-04,284.337,102069.,89.1310,33.0892
2021-12-19T123000_smart3-00551.ghg,2021-12-19,13:00,353.5415,1,36000,36000,-0.824151E-01,0,53.6381,0,136.545,0,-5.62994,0,3.06697,0,-0.889167E-02,0,0.318552,0.346104,0.537590E-01,0.777394E-02,0.548961E-03,0.109097E-09,0.265093E-11,0.536423E-12,18.1120,422.275,426.653,0.00000,0,440.100,10.2608,10.3672,0.00000,0,0.890554E-01,2.07307,2.09456,0.100000,0,287.507,285.592,101842.,1.23751,1010.96,0.233147E-01,0.198740,0.793060E-02,1045.26,1439.53,0.640850E-02,72.6108,394.276,280.776,-0.554246,-2.41770,-0.478459E-01,2.48088,0.477943E-13,0.602348E-14,2.48088,4.80696,292.020,257.088,-1.10507,-9999,0.258065,0.400111,-28.3153,-0.748888E-01,0.392824,-0.166135,0,32.4243,-4.92051,11.1302,27.7158,42.2683,59.2820,88.8152,-0.812478E-01,1.01437,59.0884,1.03087,114.391,1.15570,-8.34496,1.15570,2.56937,1.15570,-0.292093E-01,1.19883,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,8,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.440960,0.278734,0.805285E-01,0.140031,0.242182E-01,423.215,0.248117E-06,0.472301E-01,-0.834496E-02,2.56937,-0.292093E-04,284.553,102056.,89.1474,33.4373
2021-12-19T130000_smart3-00551.ghg,2021-12-19,13:30,353.5624,1,36000,36000,-0.100811,0,65.2927,0,145.553,0,-2.93287,0,3.27023,0,-0.791100E-02,0,0.482454,0.144338,-0.179653,0.324293E-02,-0.158556E-03,0.352853E-10,0.868796E-12,0.174535E-12,17.9542,419.077,423.446,0.00000,0,442.068,10.3185,10.4261,0.00000,0,0.888085E-01,2.07008,2.09166,0.100000,0,287.933,285.887,101830.,1.23607,1011.00,0.233415E-01,0.211911,0.796607E-02,1051.02,1467.68,0.644470E-02,71.6109,416.660,280.857,-0.613018,-2.40779,-0.179632E-01,2.48467,0.135958E-13,0.196530E-14,2.48467,5.78758,293.595,255.716,-0.414230,-9999,0.285584,0.456162,-31.5223,-0.672698E-01,0.448583,-0.182953,0,32.9005,-4.99278,11.2937,28.1229,42.8892,60.1527,90.1197,-0.993827E-01,1.01438,70.8733,1.03090,121.527,1.15575,-6.56273,1.15575,2.73042,1.15575,-0.319136E-01,1.19887,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,28,23,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.521874,0.295361,0.950890E-01,0.181284,0.141384E-01,415.619,0.265127E-06,0.567141E-01,-0.656273E-02,2.73042,-0.319136E-04,284.836,102044.,89.1448,33.2089
2021-12-19T133000_smart3-00551.ghg,2021-12-19,14:00,353.5832,1,36000,36000,-0.107013,0,81.1511,0,174.425,0,-6.11261,0,3.91926,0,-0.593691E-03,0,0.152004,-0.244479,-0.829896E-01,-0.549336E-02,-0.774147E-03,-0.312552E-09,-0.764966E-11,-0.154090E-11,17.8800,417.599,421.911,0.00000,0,437.611,10.2207,10.3262,0.00000,0,0.881497E-01,2.05549,2.07671,0.100000,0,288.091,285.980,101802.,1.23536,1010.94,0.233556E-01,0.253968,0.788575E-02,1040.76,1476.65,0.638334E-02,70.4811,435.891,280.713,-0.728890,-2.60331,-0.433898E-01,2.70377,0.123957E-12,-0.174805E-13,2.70377,5.38408,294.896,254.359,-0.919514,-9999,0.294321,0.413727,-27.7559,-0.763981E-01,0.465250,-0.220776,0,32.6092,-4.94857,11.1937,27.8739,42.5094,59.6201,89.3217,-0.105436,1.01496,87.6034,1.03262,145.163,1.15881,-10.1934,1.15881,3.26176,1.15881,-0.313113E-01,1.20133,800000009,800000009,800000009,800000009,800001009,800001009,899999999,899999999,89999,89999,89,89,22,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.415214,0.308973,0.103267,0.239438,0.225931E-01,469.588,0.909905E-07,0.701453E-01,-0.101934E-01,3.26176,-0.313113E-04,284.954,102016.,89.1485,33.2887
2021-12-19T140000_smart3-00551.ghg,2021-12-19,14:30,353.6040,1,36000,36000,-0.112754,0,53.0537,0,118.956,0,-2.03448,0,2.67217,0,0.125478E-01,0,-0.471335,0.216372E-01,-0.255479,0.486045E-03,-0.113056E-02,0.153767E-09,0.380808E-11,0.758714E-12,17.7026,413.052,417.321,0.00000,0,438.408,10.2293,10.3350,0.00000,0,0.873476E-01,2.03419,2.05522,0.100000,0,288.618,285.691,101798.,1.23656,1010.94,0.233329E-01,0.173157,0.790012E-02,1041.60,1449.01,0.638877E-02,71.8838,407.407,280.725,-0.735672,-2.91880,-0.667834E-01,3.01082,-0.278666E-12,0.868614E-14,3.01082,5.95744,291.467,255.853,-1.27099,-9999,0.301966,0.713208,-45.8494,-0.462492E-01,0.445992,-0.140545,0,31.0597,-4.71343,10.6618,26.5494,40.4895,56.7871,85.0774,-0.110992,1.01587,57.3884,1.03510,98.7214,1.16328,-4.95856,1.16328,2.21762,1.16328,-0.972153E-02,1.20498,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,22,1,1,9,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.909564,0.394081,0.122770,0.926198E-01,0.100856E-01,271.366,0.182303E-05,0.459072E-01,-0.495856E-02,2.21762,-0.972153E-05,284.675,102013.,89.1524,33.1086
2021-12-19T143000_smart3-00551.ghg,2021-12-19,15:00,353.6249,1,36000,36000,-0.151387,0,80.0277,0,149.426,0,-2.26329,0,3.35792,0,0.915832E-02,0,0.651864,0.168610,-0.321855,0.378901E-02,-0.306054E-02,0.305554E-10,0.772437E-12,0.148528E-12,17.4279,407.315,411.553,0.00000,0,440.576,10.2969,10.4040,0.00000,0,0.847158E-01,1.97646,1.99702,0.500000E-01,0,288.528,286.091,101772.,1.23449,1010.99,0.233714E-01,0.217593,0.793917E-02,1048.22,1487.42,0.643112E-02,70.4720,439.206,280.818,-0.663277,-3.20530,-0.571639E-01,3.27370,-0.534941E-13,0.175325E-14,3.27370,6.18108,290.937,258.309,-1.00052,-9999,0.350187,0.567986,-47.3983,-0.447379E-01,0.535566,-0.183107,0,33.1469,-5.03017,11.3782,28.3334,43.2103,60.6031,90.7944,-0.148897,1.01672,84.8367,1.03727,122.936,1.16722,-6.45756,1.16722,2.76262,1.16722,-0.202606E-01,1.20825,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,11,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.628236,0.367401,0.140334,0.191665,0.382541E-02,333.662,0.188264E-06,0.679749E-01,-0.645756E-02,2.76262,-0.202606E-04,285.191,101984.,89.1478,32.4488
not_enough_data,2021-12-19,15:30,353.645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2021-12-19T153000_smart3-00551.ghg,2021-12-19,16:00,353.6665,1,36000,36000,-0.129960,0,4.76572,0,66.5211,0,-0.903284,0,1.49328,0,0.582271E-02,2,-9999,-9999,-9999,-9999,-9999,0.209002E-10,0.508672E-12,0.102201E-12,17.4884,407.012,411.085,0.00000,0,425.635,9.90592,10.0050,0.00000,0,0.855172E-01,1.98504,2.00490,0.00000,1,288.787,284.984,101806.,1.23988,1010.75,0.232733E-01,0.967643E-01,0.766994E-02,1008.75,1383.04,0.618602E-02,72.9373,374.286,280.257,-0.867728,-3.00336,-0.599028E-01,3.12677,-0.131624E-13,0.119509E-14,3.12677,5.84739,295.317,253.885,-1.09774,-9999,0.323754,0.430461,-629.049,-0.337096E-02,0.716423E-01,-0.117460E-01,0,32.6036,-4.94772,11.1918,27.8691,42.5021,59.6098,89.3063,-0.127883,1.01624,8.01648,1.03605,56.3165,1.16500,-1.49746,1.16500,1.26420,1.16500,0.729367E-04,1.20641,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,29,3,1,14,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36000,36000,36000,36000,87,0.522788,0.213126,0.125007,0.476319E-02,0.187533E-03,84.9211,0.907804E-06,0.639675E-02,-0.149746E-02,1.26420,0.729367E-07,284.022,102014.,89.4582,54.4135
